state,percent_fair_or_poor_health,average_number_of_mentally_unhealthy_days,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_excessive_drinking,num_driving_deaths,num_uninsured,num_primary_care_physicians,num_dentists,dentist_rate,num_mental_health_providers,mental_health_provider_rate,preventable_hospitalization_rate,percent_some_college,percent_children_in_poverty,num_households_CHR,num_associations,annual_average_violent_crimes,injury_death_rate,percent_severe_housing_problems,severe_housing_cost_burden,inadequate_facilities,num_deaths_3,infant_mortality_rate,num_food_insecure,num_limited_access,num_drug_overdose_deaths,drug_overdose_mortality_rate,num_uninsured_2,percent_uninsured_2,num_uninsured_3,other_primary_care_provider_rate,percent_disconnected_youth,median_household_income,segregation_index_2,num_deaths_5,firearm_fatalities_rate,num_homeowners,num_households_with_severe_cost_burden,percent_severe_housing_cost_burden,percent_65_and_over,num_black,num_american_indian_alaska_native,percent_american_indian_alaska_native,num_asian,num_native_hawaiian_other_pacific_islander,num_not_proficient_in_english,num_minorities,num_institutionalized_in_group_quarters,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_minorities,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,region
Alabama,23.81642921595522,4.966113642055224,19.98923140641791,37.43134328358209,6.832835820895522,13.53852286337612,69.46268656716418,6538.044776119403,48.61538461538462,36.796875,31.571202343750002,76.07692307692307,62.93782230769231,6159.985074626866,51.99408600535821,29.24328358208955,16263.746268656716,86.97014925373135,343.93939393939394,88.66039768620895,13.807712033771642,11.849587645941792,1.0169838498432835,53.32142857142857,8.298313053497369,11431.492537313432,5651.092539869642,59.10526315789474,16.071850121671055,6078.776119402985,14.979716275159701,512.6865671641791,61.580805522388054,10.269195110502778,43479.82089552239,32.78245992485821,70.83333333333333,20.44252071699219,19033.17910447761,3329.2985074626868,11.96802399462388,18.620979073582088,19330.97014925373,513.0597014925373,0.8433587351731343,1092.044776119403,77.71641791044776,724.1343283582089,24430.283582089553,1766.2835820895523,0.47022089552238805,0.4911074626865672,0.6891268656716418,0.41577014925373135,0.7547537313432836,0.4361835820895522,0.5355074626865671,0.717334328358209,Southeast
Alaska,16.914579118689655,3.610430807227586,20.806449402965516,34.53103448275862,6.179310344827586,20.96857386113793,18.7,3266.448275862069,26.92,26.32142857142857,69.06327892857142,113.89285714285714,425.49868107142856,2924.3125,56.09067924637931,18.020689655172415,6348.758620689655,26.17241379310345,285.6666666666667,128.31153117152172,26.954196840137932,9.072937952244827,10.665308706989656,42.36363636363636,7.211631797116667,3353.103448275862,2241.1911442203104,66.8,19.9568409146,2712.2413793103447,21.658972752931035,598.3103448275862,140.33955344827586,15.279745700133333,64439.379310344826,29.402087290710526,63.92857142857143,29.498023705769235,5592.137931034483,1038.3793103448277,8.962433477424138,13.221707486893104,857.2758620689655,3914.344827586207,32.17726013640345,1690.5172413793102,352.44827586206895,404.17241379310343,9664.827586206897,957.2758620689655,0.09628620689655172,0.6145551724137931,0.8192344827586207,0.5651137931034483,0.23506206896551723,0.7324724137931033,0.8276172413793104,0.5361862068965517,West
Arizona,19.8759002698,4.357918672639999,16.4839110672,29.953333333333333,6.266666666666667,15.906777934533332,308.4,45731.6,310.8666666666667,294.06666666666666,51.08659733333334,636.8,95.385366,3248.266666666667,56.0536049134,26.493333333333332,107806.2,262.0,1736.0666666666666,106.19949981406667,19.104654090533334,12.159169236246667,2.9885983859466667,228.35714285714286,6.108256697684615,64537.333333333336,32146.580382706667,327.3571428571429,21.775343133642856,37900.066666666666,15.511470607033335,8669.866666666667,78.37494533333333,10.594973038641665,49105.86666666667,44.741122544266666,467.07142857142856,19.18331043302143,107071.0,23112.133333333335,12.1769967894,21.1672310632,20925.0,25344.0,15.086253900426668,17579.733333333334,1319.2666666666667,21099.2,196713.4,10184.133333333333,0.5039333333333333,0.5922066666666667,0.8407066666666666,0.53866,0.7433599999999999,0.5645399999999999,0.8259466666666667,0.8558866666666667,Southwest
Arkansas,23.303016732013333,4.763351925842667,20.38884868184,35.984,6.404,13.742365856933333,34.96,3015.72,27.027027027027028,20.260869565217394,36.9470863768116,94.72222222222223,148.79473930555557,5633.386666666666,52.111241837533335,28.393333333333334,9287.48,44.93333333333333,200.35135135135135,91.11552229154667,13.704427079894668,10.615634539970667,1.247738213756,35.64,8.135369231612499,6668.8,3399.59863157956,35.354838709677416,17.3572327756871,2636.5066666666667,11.466371821874667,419.70666666666665,72.32977613333334,11.22367032652174,41801.37333333334,29.746241260082666,45.35,19.907399034932205,10085.746666666666,1712.9466666666667,10.866140142617335,19.776845954586665,6195.2,403.0,0.9312022727826667,670.68,145.08,594.5733333333334,10540.96,1108.84,0.5448879999999999,0.5293333333333333,0.5445066666666667,0.40048533333333336,0.6731786666666667,0.4462106666666667,0.5804546666666667,0.7167479999999999,Southeast
California,16.186063267551724,3.950604461089655,12.091599764922414,27.42758620689655,7.827586206896552,19.83312739612069,306.4310344827586,47242.724137931036,540.3965517241379,576.8275862068965,73.69971637931035,2408.5689655172414,357.8850753448276,3411.9827586206898,60.46797259598276,18.28448275862069,155159.10344827586,398.2586206896552,2811.6293103448274,77.9699711873793,22.81553197243103,17.807775135189658,1.267090154210345,271.3469387755102,4.513841255016667,74447.24137931035,21137.059263267758,296.48,16.366646329946,42722.275862068964,9.649456436572414,5089.517241379311,67.54142655172414,7.471321841651111,67098.6551724138,24.958264551244643,389.3818181818182,11.9913039208717,122162.6724137931,43851.25862068965,17.871045025206897,18.006280758448277,38332.31034482759,11225.448275862069,3.1969778211568967,104544.8275862069,3446.0689655172414,62024.879310344826,410637.3103448276,14068.706896551725,0.3768258620689655,0.4934810344827586,0.7967517241379309,0.7170086206896552,0.32265,0.5289258620689655,0.6830068965517241,0.6504913793103447,West
Colorado,14.448558723453125,3.74961537505625,14.29749755565625,24.784375,7.946875,18.194754818578126,45.671875,6410.15625,75.37704918032787,75.58333333333333,54.7531885,337.5,225.07153933333333,2884.15,63.73043574984375,17.571875,19507.125,73.640625,284.2016129032258,95.20046761228814,15.982309861179688,12.976387405071875,1.268785078365625,91.78260869565217,4.5859221401769235,8810.46875,4292.254913215859,105.03703703703704,21.76817677025926,5578.671875,12.041132097740626,923.359375,82.57316796875,7.330715241907143,59599.671875,21.884669698757143,127.2,19.137964414828947,21424.140625,4560.6875,12.980196708579687,19.344671013953125,3579.453125,1423.75,2.168108666475,3088.03125,170.828125,2455.359375,25987.0,1830.359375,0.450228125,0.3859109375,0.602434375,0.5755015625,0.4098203125,0.4360375,0.43990625,0.3877484375,West
Connecticut,11.817604782125,3.54780369165,11.873619917375,26.7,8.3125,18.0577017255,174.625,22765.25,373.125,379.625,73.55516125,1755.0,358.6046775,4179.125,69.288636717375,11.85,93317.125,422.875,1316.6666666666667,72.42420341825,16.31608632575,14.897255585249999,0.563945909075,131.375,4.3375087507125,48451.25,19404.683316375,389.0,30.993980526375,20262.25,6.4620855583375,2833.375,100.09133125,5.488741054771428,77438.625,43.449410805625,247.625,5.3312887602625,113391.75,27911.75,15.083901359125,17.820988960375,45607.25,2492.875,0.5464803579499999,21724.875,480.0,16122.375,140515.0,14608.375,0.35425,0.2792625,0.5962875,0.8455125,0.0430875,0.6964,0.5232749999999999,0.31315,Northeast
Delaware,17.856453074666668,4.327972398533333,16.0504396,32.333333333333336,8.166666666666666,17.484330034,201.33333333333334,15528.666666666666,230.33333333333334,150.0,40.30205,845.0,227.65111666666667,5174.0,59.279201751666655,18.900000000000002,67054.0,329.6666666666667,1571.1666666666667,77.13497912466666,15.116067971333335,13.322384518,0.6355948055666666,156.66666666666666,6.658819007333332,36076.666666666664,13991.578901033334,340.3333333333333,33.42049358966667,13696.333333333334,7.612192682900001,2022.0,104.96254333333333,6.636855997833333,61454.333333333336,33.092785853,197.33333333333334,10.877373497866666,84769.33333333333,15855.666666666666,13.726953639666666,20.119699769,70501.33333333333,2152.6666666666665,0.7723105240666667,13194.666666666666,349.6666666666667,5983.666666666667,113710.0,8384.0,0.47269999999999995,0.4197333333333333,0.7446666666666667,0.8275666666666667,0.4567333333333334,0.5553666666666667,0.6508333333333334,0.5256333333333333,Southeast
District of Columbia,13.033793656,3.5629029718,15.965592149,23.5,8.6,27.313018199,135.0,24833.0,815.0,830.0,118.15703,3404.0,484.5862,5520.0,81.197178746,24.5,120652.0,1995.0,8217.5,78.357904643,21.461245005,18.503057059,0.7684102045,400.0,7.6606045749,76550.0,4728.9317891,833.0,40.094397518,23609.0,5.1831410155,1347.0,178.23206,6.9894645243,82533.0,60.420194905,227.0,15.78305979,117571.0,49728.0,18.39325344,12.14355368,315337.0,4296.0,0.6115694244,31025.0,975.0,15964.0,423287.0,39967.0,0.0675,0.0532,0.9494,0.9987,0.0,0.8523,0.9688,0.5918,Southeast
Florida,20.095058171895523,4.493020429804478,19.19111622446269,31.182089552238804,7.13134328358209,17.549824154417912,221.7462686567164,39044.22388059701,234.0923076923077,190.53030303030303,44.09650439393939,518.8030303030304,114.32622015151516,5659.522388059701,51.61334211058209,23.592537313432835,61258.97014925373,219.29850746268656,1342.2910447761194,89.3586178408209,16.622678670492537,14.050184330401493,0.8677691462029851,156.66071428571428,6.78818660560625,40028.50746268657,20115.857235597003,267.1666666666667,21.770230119999997,34823.46268656717,18.836401032208954,4689.268656716418,84.92082597014925,9.787103199785715,50621.10447761194,32.92189268032686,264.08196721311475,15.190031637773016,73949.26865671642,19131.731343283584,13.843953855892536,22.071108485791044,49393.82089552239,1596.7761194029852,0.749814469219403,9428.910447761195,363.4776119402985,18978.701492537315,132149.62686567163,6454.268656716418,0.5919223880597014,0.26180000000000003,0.6890641791044776,0.5956044776119402,0.6708731343283583,0.6186970149253731,0.7184626865671642,0.6833597014925373,Southeast
